format,team1,team2,toss_winner,match_winner,venue,date
T20,Wellington,Canterbury,Wellington,Wellington,"Hagley Oval, Christchurch",2024-01-11
ODI,Bangladesh,Sri Lanka,Bangladesh,Bangladesh,Shaheed Chandu Stadium,2006-02-22
T20,Durham,Warwickshire,Durham,Warwickshire,Riverside Ground,2017-08-13
T20,Austria,Sweden,Sweden,Austria,Bayer Uerdingen Cricket Ground,2022-06-10
T20,Delhi Capitals,Gujarat Titans,Gujarat Titans,Gujarat Titans,"Arun Jaitley Stadium, Delhi",2025-05-18
T20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Punjab Kings,"Brabourne Stadium, Mumbai",2022-04-03
T20,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,No Result,"Junction Oval, Melbourne",2025-11-10
ODI,India,West Indies,India,India,Old Trafford,2019-06-27
T20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",2022-04-14
T20,Netherlands,Namibia,Namibia,Namibia,"Zayed Cricket Stadium, Abu Dhabi",2021-10-20
T20,Kenya,Botswana,Kenya,Kenya,"Gahanga B Ground, Rwanda",2024-06-07
T20,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2025-03-23
ODM,Bermuda,Vanuatu,Bermuda,Vanuatu,UKM-YSD Cricket Oval,2018-05-03
Test,Zimbabwe,Bangladesh,Bangladesh,Zimbabwe,Harare Sports Club,2011-08-04
MDM,Glamorgan,Northamptonshire,Glamorgan,Northamptonshire,"County Ground, Northampton",2017-04-07
T20,Welsh Fire,Oval Invincibles,Welsh Fire,Oval Invincibles,"Sophia Gardens, Cardiff",2024-07-28
T20,B-Love Kandy,Jaffna Kings,B-Love Kandy,B-Love Kandy,"R Premadasa Stadium, Colombo",2023-08-12
T20,Germany,Scotland,Scotland,Scotland,La Manga Club Top Ground,2021-08-29
T20,Comilla Victorians,Rangpur Riders,Rangpur Riders,Comilla Victorians,"Shere Bangla National Stadium, Mirpur",2016-12-04
T20,Sydney Thunder,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,Adelaide Oval,2022-12-20
IT20,Myanmar,Nepal,Myanmar,Nepal,Bayuemas Oval,2018-10-03
T20,Jamaica Tallawahs,Barbados Tridents,Barbados Tridents,Jamaica Tallawahs,"Sabina Park, Kingston",2014-08-03
T20,Surrey,Middlesex,Surrey,Middlesex,Lord's,2018-07-05
Test,Australia,South Africa,South Africa,No Result,"Brisbane Cricket Ground, Woolloongabba",2012-11-09
ODM,Somerset,Warwickshire,Warwickshire,Somerset,"Edgbaston, Birmingham",2025-05-07
MDM,Derbyshire,Glamorgan,Glamorgan,No Result,"Sophia Gardens, Cardiff",2015-05-03
T20,Hong Kong,Bahrain,Hong Kong,Bahrain,"Bayuemas Oval, Kuala Lumpur",2025-03-17
T20,Ghana,Rwanda,Ghana,Ghana,Gahanga International Cricket Stadium. Rwanda,2021-08-20
T20,Bengal,Assam,Assam,Assam,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-10-31
T20,Hungary,Malta,Malta,Hungary,Marsa Sports Club,2025-02-03
T20,Sierra Leone,Botswana,Botswana,Sierra Leone,"Botswana Cricket Association Oval 1, Gaborone",2025-04-27
MDM,Victoria,South Australia,South Australia,Victoria,Adelaide Oval,2023-11-28
T20,Denmark,Norway,Denmark,Norway,Koge Cricket Club,2025-06-14
ODM,Netherlands,Scotland,Scotland,No Result,VRA Ground,2015-09-14
ODI,Pakistan,India,India,India,"Narendra Modi Stadium, Ahmedabad",2023-10-14
ODI,England,Australia,England,England,Old Trafford,2012-07-10
ODM,Derbyshire,Worcestershire,Worcestershire,Worcestershire,"County Ground, Derby",2024-08-02
T20,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,"Bellerive Oval, Hobart",2021-12-24
T20,Central Districts,Northern Districts,Central Districts,Central Districts,"Seddon Park, Hamilton",2024-01-26
T20,Knights,Dolphins,Dolphins,No Result,"Senwes Park, Potchefstroom",2022-10-28
T20,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,Perth Stadium,2023-12-20
T20,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Guyana Amazon Warriors,Guyana Amazon Warriors,"Warner Park, Basseterre",2019-09-14
MDM,Surrey,Nottinghamshire,Surrey,No Result,"Kennington Oval, London",2019-09-23
T20,Sylhet Sunrisers,Khulna Tigers,Khulna Tigers,Khulna Tigers,"Shere Bangla National Stadium, Mirpur",2022-02-03
T20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025-04-20
ODI,Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,Queens Sports Club,2011-08-21
T20,Falcons,Spirit,Falcons,Falcons,Dubai International Cricket Stadium,2022-05-14
T20,Durban's Super Giants,Paarl Royals,Durban's Super Giants,Durban's Super Giants,"Boland Park, Paarl",2024-01-26
Test,India,Bangladesh,Bangladesh,India,"Shere Bangla National Stadium, Mirpur",2007-05-25
ODI,South Africa,Australia,Australia,South Africa,"Cazaly's Stadium, Cairns",2025-08-19
T20,Chittagong Vikings,Rangpur Riders,Rangpur Riders,Chittagong Vikings,Sylhet International Cricket Stadium,2017-11-08
IT20,China,Bhutan,China,Bhutan,Bayuemas Oval,2018-10-04
T20,North-West Warriors,Northern Knights,Northern Knights,Northern Knights,"Pembroke Cricket Club, Sandymount, Dublin",2023-08-01
T20,Uganda,Tanzania,Uganda,Tanzania,Integrated Polytechnic Regional Centre,2022-06-11
T20,Maharashtra,Karnataka,Karnataka,Karnataka,Holkar Stadium,2019-03-14
T20,Jamaica Tallawahs,Barbados Royals,Barbados Royals,Barbados Royals,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2022-09-11
ODM,Kent,Hampshire,Hampshire,Hampshire,"Kent County Cricket Ground, Beckenham",2021-08-08
T20,Australia,Pakistan,Australia,Pakistan,R Premadasa Stadium,2012-10-02
T20,Costa Rica,Panama,Costa Rica,Panama,"Clayton Panama, Panama City",2025-04-18
IT20,Philippines,Indonesia,Indonesia,Philippines,Friendship Oval,2018-12-07
MDM,Leicestershire,Gloucestershire,Gloucestershire,No Result,"Grace Road, Leicester",2016-06-27
T20,Essex,Middlesex,Middlesex,Essex,"Lord's, London",2023-06-18
T20,Papua New Guinea,Thailand,Papua New Guinea,Thailand,"Terdthai Cricket Ground, Bangkok",2025-11-17
Test,England,Australia,England,England,Trent Bridge,2015-08-06
T20,Sri Lanka,South Africa,South Africa,Sri Lanka,"Newlands, Cape Town",2023-02-10
ODI,Bangladesh,West Indies,Bangladesh,West Indies,Shere Bangla National Stadium,2011-10-15
ODM,Essex,Hampshire,Hampshire,Essex,"County Ground, Chelmsford",2014-08-13
Test,Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,R Premadasa Stadium,2013-03-16
T20,Punjab,Uttar Pradesh,Punjab,Punjab,Alur Cricket Stadium II,2021-01-10
T20,Central Districts,Wellington,Central Districts,Wellington,"McLean Park, Napier",2024-01-08
ODI,Zimbabwe,Australia,Zimbabwe,Australia,"Queens Sports Club, Bulawayo",2003-02-24
T20,Indonesia,Cambodia,Indonesia,Cambodia,Udayana Cricket Ground,2025-06-12
ODM,Somerset,Durham,Somerset,Somerset,"Riverside Ground, Chester-le-Street",2024-07-31
ODM,Northamptonshire,Warwickshire,Warwickshire,Northamptonshire,"County Ground, Northampton",2019-04-21
T20,Namibia,Botswana,Botswana,Namibia,United Cricket Club Ground,2019-08-20
ODM,South East Stars,Southern Vipers,South East Stars,Southern Vipers,"Kent County Cricket Ground, Beckenham",2022-09-21
T20,Scotland,Italy,Scotland,Scotland,"Desert Springs Cricket Ground, Almeria",2023-09-10
T20,Australia,New Zealand,New Zealand,New Zealand,McLean Park,2021-03-30
T20,Hungary,Austria,Austria,Austria,"GB Oval, Szodliget",2025-07-26
T20,Brisbane Heat,Melbourne Stars,Brisbane Heat,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba",2019-02-08
T20,China,Japan,China,Japan,"Royal Selangor Club, Kuala Lumpur",2024-02-11
T20,India,South Africa,South Africa,India,"Kingsmead, Durban",2024-11-08
T20,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,Sydney Sixers,"Eastern Oval, Ballarat",2022-10-30
T20,South Africa,Pakistan,Pakistan,Pakistan,City Oval,2019-05-19
T20,Lesotho,Seychelles,Seychelles,Seychelles,Gahanga International Cricket Stadium. Rwanda,2021-10-17
T20,Derbyshire,Warwickshire,Warwickshire,Warwickshire,County Ground,2016-06-17
T20,Mumbai Indians,UP Warriorz,Mumbai Indians,Mumbai Indians,"Arun Jaitley Stadium, Delhi",2024-03-07
T20,Lions,Western Province,Lions,Western Province,"The Wanderers Stadium, Johannesburg",2024-10-16
T20,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-04-25
T20,Sri Lanka,United Arab Emirates,United Arab Emirates,Sri Lanka,"GMHBA Stadium, South Geelong, Victoria",2022-10-18
IT20,Bermuda,United States of America,United States of America,United States of America,National Stadium,2010-06-06
Test,Australia,England,Australia,Australia,"Brisbane Cricket Ground, Woolloongabba",2006-11-23
T20,Manipur,Arunachal Pradesh,Manipur,Manipur,T I Murugappa Ground,2021-01-15
T20,Sylhet Titans,Rajshahi Warriors,Rajshahi Warriors,Rajshahi Warriors,Sylhet International Cricket Stadium,2025-12-26
MDM,Gloucestershire,Surrey,Surrey,Surrey,"Kennington Oval, London",2014-05-11
ODI,England,Sri Lanka,England,Sri Lanka,Lord's,2014-05-31
T20,Northern Districts,Otago,Northern Districts,Otago,"Seddon Park, Hamilton",2024-01-06
T20,Perth Scorchers,Sydney Thunder,Perth Scorchers,Sydney Thunder,Melbourne Cricket Ground,2024-11-15
T20,Warwickshire,Yorkshire,Warwickshire,Yorkshire,Headingley,2015-07-24
MDM,Somerset,Warwickshire,Warwickshire,No Result,"Edgbaston, Birmingham",2014-05-25
T20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Wankhede Stadium,2011-05-25
T20,Malaysia,United Arab Emirates,United Arab Emirates,United Arab Emirates,Terdthai Cricket Ground,2019-02-21
T20,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,Sydney Cricket Ground,2019-01-23
T20,London Spirit,Oval Invincibles,Oval Invincibles,London Spirit,"Lord's, London",2025-08-05
T20,Rwanda,Botswana,Botswana,Rwanda,"Gymkhana Club Ground, Nairobi",2023-06-13
T20,St Kitts and Nevis Patriots,St Lucia Zouks,St Lucia Zouks,St Kitts and Nevis Patriots,"Warner Park, Basseterre",2015-07-10
T20,Bangladesh,Pakistan,Bangladesh,Pakistan,Gymkhana Club Ground,2007-09-02
Test,South Africa,Sri Lanka,Sri Lanka,Sri Lanka,Kingsmead,2019-02-13
T20,Chittagong Vikings,Comilla Victorians,Chittagong Vikings,Comilla Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",2019-01-29
ODI,India,South Africa,South Africa,South Africa,Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,2021-03-12
ODI,Australia,West Indies,West Indies,Australia,Western Australia Cricket Association Ground,2013-02-03
T20,Kerala,Delhi,Kerala,Delhi,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",2019-02-25
ODM,Glamorgan,Hampshire,Hampshire,Hampshire,"St Helen's, Swansea",2018-06-03
ODM,North-West Warriors,Leinster Lightning,Leinster Lightning,Leinster Lightning,"Bready Cricket Club, Magheramason, Bready",2020-09-22
Test,South Africa,Sri Lanka,South Africa,Sri Lanka,St George's Park,2019-02-21
T20,Nottinghamshire,Northamptonshire,Nottinghamshire,Nottinghamshire,"County Ground, Northampton",2021-06-13
ODI,Netherlands,Scotland,Netherlands,Netherlands,"Warner Park, Basseterre",2007-03-22
T20,Wellington,Auckland,Wellington,Wellington,"Basin Reserve, Wellington",2021-12-24
T20,Paarl Royals,Sunrisers Eastern Cape,Sunrisers Eastern Cape,Sunrisers Eastern Cape,"Boland Park, Paarl",2023-01-19
T20,Lancashire,Nottinghamshire,Lancashire,Lancashire,"Old Trafford, Manchester",2023-05-27
T20,New Zealand,Bangladesh,New Zealand,New Zealand,"Shere Bangla National Stadium, Mirpur",2021-09-10
ODI,Sri Lanka,New Zealand,New Zealand,No Result,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013-11-10
MDM,Sussex,Hampshire,Sussex,Sussex,"The Rose Bowl, Southampton",2015-04-12
T20,Cape Cobras,Warriors,Warriors,Cape Cobras,"St George's Park, Port Elizabeth",2014-11-28
T20,Mumbai Indians,Pune Warriors,Mumbai Indians,Mumbai Indians,Wankhede Stadium,2013-04-13
ODM,Worcestershire,Gloucestershire,Gloucestershire,Worcestershire,"County Ground, New Road, Worcester",2023-08-10
T20,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Dubai International Cricket Stadium,2020-10-04
ODI,Sri Lanka,India,Sri Lanka,India,Pallekele International Cricket Stadium,2017-08-27
T20,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,"Sardar Patel Stadium, Motera",2010-03-28
ODM,Queensland,Tasmania,Tasmania,No Result,"Junction Oval, Melbourne",2024-09-25
T20,Knights,Cape Cobras,Cape Cobras,Cape Cobras,"Boland Park, Paarl",2015-11-22
ODM,Leicestershire,Glamorgan,Glamorgan,Glamorgan,"Sophia Gardens, Cardiff",2025-08-26
T20,Australia,New Zealand,Australia,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",2016-03-21
T20,Rangpur Rangers,Sylhet Thunder,Sylhet Thunder,Rangpur Rangers,Sylhet International Cricket Stadium,2020-01-03
T20,Malaysia,Kuwait,Kuwait,Kuwait,"Bayuemas Oval, Kuala Lumpur",2024-09-05
T20,Kathmandu Gurkhas,Janakpur Bolts,Kathmandu Gurkhas,Janakpur Bolts,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-12
T20,Bulgaria,Serbia,Serbia,Serbia,"Vassil Levski National Sports Academy, Sofia",2025-07-07
T20,Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,Multan Sultans,"National Stadium, Karachi",2024-03-14
T20,Tamil Nadu,Uttar Pradesh,Uttar Pradesh,Uttar Pradesh,Greenfield Stadium,2019-11-11
ODI,Kenya,Canada,Canada,Kenya,Gymkhana Club Ground,2007-10-20
T20,Durham,Hampshire,Hampshire,Durham,Arundel Castle Cricket Club Ground,2025-06-07
T20,Kenya,Uganda,Kenya,Kenya,Integrated Polytechnic Regional Centre,2021-11-17
T20,Finland,Norway,Norway,Norway,"Ishoj Cricket Club, Vejledalen",2025-08-30
T20,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,Islamabad United,"Gaddafi Stadium, Lahore",2022-02-24
T20,India,Pakistan,India,India,Shere Bangla National Stadium,2014-03-21
MDM,Bermuda,Kenya,Kenya,Kenya,Gymkhana Club Ground,2007-11-01
Test,Zimbabwe,New Zealand,Zimbabwe,New Zealand,"Queens Sports Club, Bulawayo",2025-07-30
IT20,Tanzania,Namibia,Namibia,Namibia,Wanderers Cricket Ground,2017-09-15
ODI,Australia,Sri Lanka,Australia,Sri Lanka,Kennington Oval,2013-06-17
T20,Sydney Sixers,Sydney Thunder,Sydney Sixers,Sydney Sixers,North Sydney Oval,2019-10-18
ODI,United Arab Emirates,Nepal,Nepal,Nepal,"Takashinga Sports Club, Highfield, Harare",2023-07-02
ODI,Sri Lanka,Pakistan,Sri Lanka,Pakistan,Sharjah Cricket Stadium,2017-10-23
MDM,Yorkshire,Hampshire,Hampshire,No Result,"Headingley, Leeds",2018-09-18
ODI,Australia,England,England,Australia,Sydney Cricket Ground,2011-01-23
ODM,Surrey,Glamorgan,Glamorgan,No Result,"Kennington Oval, London",2016-08-01
ODI,Ireland,West Indies,Ireland,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2023-07-01
ODI,South Africa,Australia,South Africa,Australia,Kingsmead,2006-03-10
MDM,Western Australia,South Australia,South Australia,South Australia,"Western Australia Cricket Association Ground, Perth",2025-02-08
ODI,England,Sri Lanka,England,England,Old Trafford,2011-07-09
T20,Sylhet Royals,Khulna Royal Bengals,Khulna Royal Bengals,Sylhet Royals,"Shere Bangla National Stadium, Mirpur",2013-02-12
T20,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",2025-04-21
T20,Uganda,Rwanda,Uganda,Uganda,Integrated Polytechnic Regional Centre,2021-10-17
Test,England,Australia,England,England,Sophia Gardens,2015-07-08
ODM,Italy,Hong Kong,Hong Kong,Italy,Entebbe Cricket Oval,2024-11-09
ODM,Lancashire,Warwickshire,Lancashire,Lancashire,"Old Trafford, Manchester",2016-06-05
T20,Malta,Portugal,Malta,Portugal,Europa Sports Complex,2023-05-06
T20,Auckland,Central Districts,Central Districts,Auckland,"Eden Park Outer Oval, Auckland",2026-01-26
T20,Brisbane Heat,Sydney Sixers,Sydney Sixers,Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba",2020-01-23
T20,Malaysia,Vanuatu,Malaysia,Malaysia,Kinrara Academy Oval,2019-10-04
T20,Nottinghamshire,Durham,Nottinghamshire,Nottinghamshire,"Riverside Ground, Chester-le-Street",2021-06-15
T20,Sudur Paschim Royals,Kathmandu Gurkhas,Kathmandu Gurkhas,Sudur Paschim Royals,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-05
T20,Ireland,Netherlands,Netherlands,Ireland,"Sportpark Westvliet, The Hague",2024-05-24
T20,Comilla Victorians,Dhaka Dynamites,Dhaka Dynamites,Comilla Victorians,"Shere Bangla National Stadium, Mirpur",2019-02-08
ODM,Glamorgan,Durham,Durham,Glamorgan,"Trent Bridge, Nottingham",2021-08-19
T20,Namibia,South Africa,Namibia,Namibia,"Achimota Senior Secondary School A Field, Accra",2024-03-07
T20,New Zealand,Pakistan,Pakistan,New Zealand,"University Oval, Dunedin",2024-01-17
T20,Scotland,Netherlands,Netherlands,Scotland,Lochlands,2019-09-07
T20,Brisbane Heat,Melbourne Stars,Melbourne Stars,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba",2018-12-19
ODI,Pakistan,India,Pakistan,India,Dubai International Cricket Stadium,2025-02-23
T20,Titans,Knights,Knights,Knights,"Chevrolet Park, Bloemfontein",2014-11-14
T20,Australia,England,England,England,"Lord's, London",2023-07-08
T20,Burgher Recreation Club,Nondescripts Cricket Club,Nondescripts Cricket Club,No Result,"P Sara Oval, Colombo",2024-06-26
Test,South Africa,Australia,South Africa,South Africa,The Wanderers Stadium,2018-03-30
T20,Sierra Leone,Rwanda,Rwanda,Rwanda,"Nigeria Cricket Federation Oval 1, Abuja",2025-12-04
T20,Malawi,Ghana,Ghana,Ghana,Gahanga International Cricket Stadium. Rwanda,2021-10-19
ODM,Glamorgan,Warwickshire,Warwickshire,Warwickshire,"St Helen's, Swansea",2014-08-14
MDM,Gloucestershire,Kent,Kent,No Result,"County Ground, Bristol",2017-09-12
T20,South Africa,Australia,South Africa,South Africa,New Wanderers Stadium,2009-03-27
T20,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Mumbai Indians,Brabourne Stadium,2010-04-13
T20,Norway,Luxembourg,Norway,Norway,Koge Cricket Club 2,2024-09-15
T20,Hyderabad (India),Jharkhand,Jharkhand,No Result,Eden Gardens,2021-01-18
ODI,Pakistan,Sri Lanka,Pakistan,Sri Lanka,R.Premadasa Stadium,2004-07-21
T20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,2017-04-15
T20,Surrey,The Blaze,Surrey,Surrey,"Trent Bridge, Nottingham",2025-07-11
T20,Worcestershire,Nottinghamshire,Nottinghamshire,Nottinghamshire,"County Ground, New Road, Worcester",2022-07-03
T20,Andhra,Tamil Nadu,Andhra,Tamil Nadu,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,2018-01-08
ODI,New Zealand,Zimbabwe,New Zealand,New Zealand,Harare Sports Club,2005-08-31
T20,Indonesia,Thailand,Thailand,Indonesia,Udayana Cricket Ground,2024-05-04
T20,Malta,Romania,Malta,Malta,Marsa Sports Club,2023-07-14
ODM,Canada,Singapore,Canada,Canada,"Bayuemas Oval, Kuala Lumpur",2022-12-06
T20,England,Australia,England,England,County Ground,2015-08-26
T20,Chittagong Vikings,Barisal Bulls,Chittagong Vikings,Chittagong Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",2016-11-22
ODM,North-West Warriors,Leinster Lightning,Leinster Lightning,Leinster Lightning,"Pembroke Cricket Club, Sandymount, Dublin",2021-05-01
T20,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-05-19
ODI,New Zealand,Sri Lanka,New Zealand,New Zealand,Jade Stadium,2006-01-03
ODI,South Africa,Sri Lanka,South Africa,South Africa,Buffalo Park,2012-01-14
T20,Sierra Leone,Uganda,Sierra Leone,Uganda,"Botswana Cricket Association Oval 2, Gaborone",2021-09-14
ODI,Sri Lanka,Pakistan,Pakistan,Pakistan,Rawalpindi Cricket Stadium,2025-11-14
MDM,Central Stags,Wellington Firebirds,Wellington Firebirds,Wellington Firebirds,"Basin Reserve, Wellington",2013-11-07
ODI,Namibia,Netherlands,Namibia,Netherlands,"Wanderers Cricket Ground, Windhoek",2025-03-13
T20,Finland,Switzerland,Switzerland,Switzerland,Kerava National Cricket Ground,2025-07-20
T20,New Zealand,India,India,India,"Shaheed Veer Narayan Singh International Stadium, Raipur",2026-01-23
ODI,Australia,Pakistan,Australia,Australia,Adelaide Oval,2017-01-26
T20,Derbyshire,Nottinghamshire,Derbyshire,Nottinghamshire,County Ground,2019-07-26
T20,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,Karachi Kings,Dubai International Cricket Stadium,2018-02-25
T20,Dhaka Dynamites,Khulna Titans,Khulna Titans,Khulna Titans,"Shere Bangla National Stadium, Mirpur",2016-12-04
